Energy[keV]  N[keV cm^2 mAs]^-1 @ 1 meter
12  28.06942
13  382.471
14  2925.957
15  13642.99
16  45495.25
17  115701.1
18  240251.9
19  433168.6
20  696292.1
21  1.022622e+6
22  1.397837e+6
23  1.804693e+6
24  2.225030e+6
25  2.620617e+6
26  3.025392e+6
27  3.396450e+6
28  3.737745e+6
29  4.040612e+6
30  4.284529e+6
31  4.501940e+6
32  4.687323e+6
33  4.834565e+6
34  4.950734e+6
35  5.029092e+6
36  5.079560e+6
37  5.110671e+6
38  5.120833e+6
39  5.108372e+6
40  5.082706e+6
41  5.045411e+6
42  4.991155e+6
43  4.929461e+6
44  4.861183e+6
45  4.783822e+6
46  4.705101e+6
47  4.618418e+6
48  4.527891e+6
49  4.437219e+6
50  4.342192e+6
51  4.246956e+6
52  4.149145e+6
53  4.055365e+6
54  3.959182e+6
55  3.863141e+6
56  3.766522e+6
57  3.671656e+6
58  1.145404e+7
59  1.723234e+7
60  3.395919e+6
61  3.305657e+6
62  3.218238e+6
63  3.130985e+6
64  3.047798e+6
65  2.963066e+6
66  2.882170e+6
67  7.369231e+6
68  2.722774e+6
69  3.838365e+6
70  2.307082e+6
71  2.249882e+6
72  2.193691e+6
73  2.139712e+6
74  2.085190e+6
75  2.031762e+6
76  1.976863e+6
77  1.924838e+6
78  1.873109e+6
79  1.820898e+6
80  1.769678e+6
81  1.718949e+6
82  1.670879e+6
83  1.621518e+6
84  1.572873e+6
85  1.524529e+6
86  1.477718e+6
87  1.431873e+6
88  1.386130e+6
89  1.340814e+6
90  1.296197e+6
91  1.251946e+6
92  1.209061e+6
93  1.165705e+6
94  1.123446e+6
95  1.081928e+6
96  1.040830e+6
97  999556.2
98  959220.5
99  919223
100  880096
101  841288.7
102  801868
103  763478
104  724935.1
105  686701.7
106  649017.8
107  610620.9
108  572981.9
109  534498.9
110  496860.1
111  458769.6
112  420255.8
113  382065.3
114  339444.8
115  298442.5
116  257663
117  217421
118  161052.5
119  79274.08
120  0
