Photon    Tot. w/  
Energy    Coherent 

1.000E-03 2.628E+03 
1.035E-03 2.389E+03 
1.072E-03 2.172E+03 
1.072E-03 2.178E+03 
1.500E-03 8.622E+02 
2.000E-03 3.800E+02 
2.472E-03 2.054E+02 
2.472E-03 2.072E+02 
2.641E-03 1.707E+02 
2.822E-03 1.406E+02 
2.822E-03 1.420E+02 
3.000E-03 1.188E+02 
4.000E-03 5.054E+01 
5.000E-03 2.587E+01 
6.000E-03 1.494E+01 
8.000E-03 6.300E+00 
1.000E-02 3.268E+00 
1.500E-02 1.083E+00 
2.000E-02 5.678E-01 
3.000E-02 3.063E-01 
4.000E-02 2.396E-01 
5.000E-02 2.123E-01 
6.000E-02 1.974E-01 
8.000E-02 1.800E-01 
1.000E-01 1.688E-01 
