Photon    Tot. w/  
Energy    Coherent 

1.000E-03 6.308E+03 
1.062E-03 5.500E+03 
1.062E-03 6.127E+03 
1.099E-03 5.691E+03 
1.137E-03 5.288E+03 
1.137E-03 5.537E+03 
1.212E-03 4.821E+03 
1.293E-03 4.199E+03 
1.293E-03 4.355E+03 
1.500E-03 3.113E+03 
1.550E-03 2.884E+03 
1.550E-03 4.029E+03 
1.573E-03 3.816E+03 
1.596E-03 3.617E+03 
1.596E-03 4.127E+03 
1.686E-03 3.635E+03 
1.782E-03 3.201E+03 
1.782E-03 3.378E+03 
2.000E-03 2.573E+03 
3.000E-03 9.450E+02 
4.000E-03 4.536E+02 
5.000E-03 2.542E+02 
5.247E-03 2.241E+02 
5.247E-03 4.544E+02 
5.432E-03 4.174E+02 
5.624E-03 3.834E+02 
5.624E-03 4.907E+02 
5.803E-03 4.538E+02 
5.989E-03 4.196E+02 
5.989E-03 4.731E+02 
6.000E-03 4.707E+02 
8.000E-03 2.257E+02 
1.000E-02 1.254E+02 
1.347E-02 5.662E+01 
1.347E-02 9.900E+01 
1.500E-02 7.492E+01 
2.000E-02 3.498E+01 
3.000E-02 1.172E+01 
3.744E-02 6.432E+00 
3.744E-02 2.020E+01 
4.000E-02 1.698E+01 
5.000E-02 9.475E+00 
6.000E-02 5.836E+00 
8.000E-02 2.722E+00 
1.000E-01 1.520E+00 
