Photon    Tot. w/  
Energy    Coherent 

1.000E-03 3.780E+03 
1.035E-03 3.447E+03 
1.072E-03 3.144E+03 
1.072E-03 3.150E+03 
1.183E-03 2.428E+03 
1.305E-03 1.869E+03 
1.305E-03 1.879E+03 
1.500E-03 1.294E+03 
2.000E-03 5.869E+02 
2.145E-03 4.822E+02 
2.145E-03 7.113E+02 
2.303E-03 5.905E+02 
2.472E-03 4.900E+02 
2.472E-03 4.956E+02 
3.000E-03 2.958E+02 
4.000E-03 1.331E+02 
4.038E-03 1.296E+02 
4.038E-03 3.332E+02 
5.000E-03 1.917E+02 
6.000E-03 1.171E+02 
8.000E-03 5.323E+01 
1.000E-02 2.852E+01 
1.500E-02 9.032E+00 
2.000E-02 4.001E+00 
3.000E-02 1.331E+00 
4.000E-02 6.656E-01 
5.000E-02 4.242E-01 
6.000E-02 3.148E-01 
8.000E-02 2.229E-01 
1.000E-01 1.855E-01 
