Photon    Tot. w/  
Energy    Coherent 

1.000E-03 3.697E+03 
1.035E-03 3.369E+03 
1.072E-03 3.070E+03 
1.072E-03 3.082E+03 
1.500E-03 1.246E+03 
2.000E-03 5.577E+02 
2.145E-03 4.568E+02 
2.145E-03 4.657E+02 
2.303E-03 3.807E+02 
2.472E-03 3.109E+02 
2.472E-03 3.146E+02 
2.641E-03 2.602E+02 
2.822E-03 2.150E+02 
2.822E-03 2.194E+02 
3.000E-03 1.842E+02 
3.607E-03 1.077E+02 
3.607E-03 1.109E+02 
4.000E-03 8.191E+01 
5.000E-03 4.242E+01 
6.000E-03 2.468E+01 
8.000E-03 1.047E+01 
1.000E-02 5.411E+00 
1.500E-02 1.710E+00 
2.000E-02 8.283E-01 
3.000E-02 3.811E-01 
4.000E-02 2.702E-01 
5.000E-02 2.275E-01 
6.000E-02 2.058E-01 
8.000E-02 1.831E-01 
1.000E-01 1.701E-01 
