Photon    Tot. w/  
Energy    Coherent 

1.000E-03 9.234E+03 
1.065E-03 8.098E+03 
1.065E-03 8.339E+03 
1.069E-03 8.282E+03 
1.072E-03 8.225E+03 
1.072E-03 8.389E+03 
1.142E-03 7.328E+03 
1.217E-03 6.401E+03 
1.217E-03 6.556E+03 
1.500E-03 4.132E+03 
2.000E-03 2.114E+03 
3.000E-03 7.879E+02 
4.000E-03 3.836E+02 
4.557E-03 2.756E+02 
4.557E-03 5.178E+02 
4.702E-03 4.834E+02 
4.852E-03 4.513E+02 
4.852E-03 5.635E+02 
5.000E-03 5.296E+02 
5.012E-03 5.264E+02 
5.012E-03 7.507E+02 
5.099E-03 7.184E+02 
5.188E-03 6.875E+02 
5.188E-03 7.448E+02 
5.273E-03 7.154E+02 
5.359E-03 6.872E+02 
5.359E-03 7.919E+02 
5.534E-03 7.314E+02 
5.714E-03 6.756E+02 
5.714E-03 7.262E+02 
6.000E-03 6.449E+02 
8.000E-03 3.071E+02 
1.000E-02 1.711E+02 
1.500E-02 5.816E+01 
2.000E-02 2.686E+01 
3.000E-02 9.045E+00 
3.317E-02 6.921E+00 
3.317E-02 2.122E+01 
3.455E-02 1.910E+01 
3.598E-02 1.718E+01 
3.598E-02 3.026E+01 
4.000E-02 2.297E+01 
5.000E-02 1.287E+01 
6.000E-02 7.921E+00 
8.000E-02 3.677E+00 
1.000E-01 2.035E+00 
