Photon    Tot. w/  
Energy    Coherent 

1.000E-03 2.497E+03 
1.185E-03 1.765E+03 
1.185E-03 1.910E+03 
1.201E-03 2.623E+03 
1.217E-03 3.673E+03 
1.217E-03 4.354E+03 
1.500E-03 4.390E+03 
1.544E-03 4.091E+03 
1.544E-03 4.699E+03 
1.615E-03 4.236E+03 
1.688E-03 3.819E+03 
1.688E-03 4.045E+03 
1.782E-03 3.584E+03 
1.881E-03 3.175E+03 
1.881E-03 3.310E+03 
2.000E-03 2.883E+03 
2.472E-03 1.744E+03 
2.472E-03 1.901E+03 
3.000E-03 1.205E+03 
4.000E-03 5.917E+02 
5.000E-03 3.371E+02 
6.000E-03 2.118E+02 
7.243E-03 1.306E+02 
7.243E-03 3.313E+02 
7.579E-03 2.949E+02 
7.930E-03 2.625E+02 
7.930E-03 3.536E+02 
8.000E-03 3.470E+02 
8.376E-03 3.096E+02 
8.376E-03 3.560E+02 
1.000E-02 2.285E+02 
1.500E-02 7.902E+01 
2.000E-02 3.687E+01 
3.000E-02 1.254E+01 
4.000E-02 5.854E+00 
5.000E-02 3.274E+00 
5.024E-02 3.234E+00 
5.024E-02 1.555E+01 
6.000E-02 9.814E+00 
8.000E-02 4.666E+00 
1.000E-01 2.613E+00 
