Photon    Tot. w/  
Energy    Coherent 

1.000E-03 3.835E+03 
1.035E-03 3.495E+03 
1.072E-03 3.186E+03 
1.072E-03 3.198E+03 
1.500E-03 1.295E+03 
2.000E-03 5.801E+02 
2.145E-03 4.752E+02 
2.145E-03 4.797E+02 
2.303E-03 3.920E+02 
2.472E-03 3.201E+02 
2.472E-03 3.238E+02 
2.641E-03 2.677E+02 
2.822E-03 2.212E+02 
2.822E-03 2.241E+02 
3.000E-03 1.880E+02 
3.607E-03 1.098E+02 
3.607E-03 1.119E+02 
4.000E-03 8.260E+01 
5.000E-03 4.269E+01 
6.000E-03 2.479E+01 
8.000E-03 1.049E+01 
1.000E-02 5.411E+00 
1.500E-02 1.705E+00 
2.000E-02 8.249E-01 
3.000E-02 3.796E-01 
4.000E-02 2.694E-01 
5.000E-02 2.269E-01 
6.000E-02 2.054E-01 
8.000E-02 1.828E-01 
1.000E-01 1.698E-01 
